doc_id,stock_code,stock_name,bond_code,bond_name,ann_type,publish_date,announcement_url,pdf_url,download_status,crawl_time,notes
cbda0cb5bca1bb08,000723,美锦能源,127061,美锦转债,下修触发提示,2026-05-09,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225001&announcementTime=2026-05-09,http://static.cninfo.com.cn/finalpage/2026-05-09/1225001.PDF,pending,2026-05-19 16:11:19,示例数据-事件1
816fe6003116ee4f,000723,美锦能源,127061,美锦转债,下修触发提示,2026-04-29,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225002&announcementTime=2026-04-29,http://static.cninfo.com.cn/finalpage/2026-04-29/1225002.PDF,pending,2026-05-19 16:11:19,示例数据-事件2
22cf04ce6476fcc2,000723,美锦能源,127061,美锦转债,下修触发提示,2026-04-19,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225003&announcementTime=2026-04-19,http://static.cninfo.com.cn/finalpage/2026-04-19/1225003.PDF,pending,2026-05-19 16:11:19,示例数据-事件3
157314f781dd1c85,000723,美锦能源,127061,美锦转债,下修提议,2026-05-04,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225011&announcementTime=2026-05-04,http://static.cninfo.com.cn/finalpage/2026-05-04/1225011.PDF,pending,2026-05-19 16:11:19,示例数据-事件1
69880d515fbc1c5d,000723,美锦能源,127061,美锦转债,下修提议,2026-04-24,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225012&announcementTime=2026-04-24,http://static.cninfo.com.cn/finalpage/2026-04-24/1225012.PDF,pending,2026-05-19 16:11:19,示例数据-事件2
b38619f09b9e5eab,000723,美锦能源,127061,美锦转债,下修提议,2026-04-14,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225013&announcementTime=2026-04-14,http://static.cninfo.com.cn/finalpage/2026-04-14/1225013.PDF,pending,2026-05-19 16:11:19,示例数据-事件3
5714b6544b997fa0,000723,美锦能源,127061,美锦转债,下修决议,2026-04-29,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225021&announcementTime=2026-04-29,http://static.cninfo.com.cn/finalpage/2026-04-29/1225021.PDF,pending,2026-05-19 16:11:19,示例数据-事件1
29fc103cd023b383,000723,美锦能源,127061,美锦转债,下修决议,2026-04-19,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225022&announcementTime=2026-04-19,http://static.cninfo.com.cn/finalpage/2026-04-19/1225022.PDF,pending,2026-05-19 16:11:19,示例数据-事件2
e90ca18463dc7eb3,000723,美锦能源,127061,美锦转债,下修决议,2026-04-09,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225023&announcementTime=2026-04-09,http://static.cninfo.com.cn/finalpage/2026-04-09/1225023.PDF,pending,2026-05-19 16:11:19,示例数据-事件3
1a7ba30bf816fffa,000723,美锦能源,127061,美锦转债,下修实施,2026-04-24,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225031&announcementTime=2026-04-24,http://static.cninfo.com.cn/finalpage/2026-04-24/1225031.PDF,pending,2026-05-19 16:11:19,示例数据-事件1
7b84a27adc1c2ba5,000723,美锦能源,127061,美锦转债,下修实施,2026-04-14,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225032&announcementTime=2026-04-14,http://static.cninfo.com.cn/finalpage/2026-04-14/1225032.PDF,pending,2026-05-19 16:11:19,示例数据-事件2
25f1f51cea6d6d73,000723,美锦能源,127061,美锦转债,下修实施,2026-04-04,https://www.cninfo.com.cn/new/disclosure/detail?orgId=gssz000723&announcementId=1225033&announcementTime=2026-04-04,http://static.cninfo.com.cn/finalpage/2026-04-04/1225033.PDF,pending,2026-05-19 16:11:19,示例数据-事件3
